group,N.60,M.60,SE.60,N.71,M.71,SE.71,N.76,M.76,SE.76,N.88,M.88,SE.88,N.99,M.99,SE.99,p
all,6098,222,1.5,13106,216,0.8,11864,215,1.1,13914,204,0.7,7740,203,0.9,0.39
g20,,,,,,,,,,15719,206,0.7,8809,203,0.8,0.009
men,2841,220,1.9,4992,215,1.1,5604,213,1,6551,204,0.9,3649,203,1.2,0.51
mg20,,,,,,,,,,7392,204,0.9,4165,202,1.2,0.19
m20-29,576,189,2.2,986,190,1.4,1261,188,1.5,1551,180,1.1,674,183,1.9,0.18
m30-39,698,217,3.3,654,210,1.9,871,209,1.8,1387,201,1.6,673,200,1.5,0.65
m40-49,638,230,2.5,715,228,2.4,695,223,1.6,1168,211,1.7,760,212,2.9,0.77
m50-59,475,231,2.9,717,229,2.6,691,229,1.9,825,216,2.1,571,215,2.2,0.74
m60-74,454,232,2.4,1920,226,1.9,2086,223,1.6,1620,214,1.5,971,204,1.6,0.001
m75,,,,,,,,,,841,205,1.8,516,195,2.8,0.005
women,3257,225,1.6,8114,217,0.9,6260,216,1.2,7363,205,0.8,4091,202,0.8,0.01
wg20,,,,,,,,,,8327,207,0.8,4644,204,0.7,0.009
w20-29,747,189,1.8,2283,189,1.3,1366,187,1.5,1757,183,1.7,961,183,1.3,0.99
w30-39,764,207,1.9,1687,200,1.4,986,197,1.3,1749,189,1.3,861,194,1.5,0.02
w40-49,739,224,2.6,1233,218,1.8,766,218,1.9,1297,204,1.4,754,203,1.6,0.64
w50-59,529,256,2.3,780,241,2.4,793,243,2.4,956,228,1.9,569,216,1.6,0.001
w60-74,478,263,2.9,2131,250,1.6,2349,247,1.3,1604,235,1.6,946,223,1.4,0.001
w75,,,,,,,,,,964,231,2.3,553,217,1.7,0.001
