group,LDLM.76,LDLSE.76,LDLM.88,LDLSE.88,LDLM.99,LDLSE.99,HDLM.76,HDLSE.76,HDLM.88,HDLSE.88,HDLM.99,HDLSE.99,STGM.76,STGSE.76,STGM.88,STGSE.88,STGM.99,STGSE.99
all,138,1.3,128,0.9,123,1,49.7,0.39,50.6,0.35,51,0.36,114,1.6,116,1.9,122,1.9
g20,,,129,0.8,123,1,,,50.7,0.34,51.3,0.36,,,118,1.9,123,1.8
allM,140,1.4,131,0.9,126,1.4,45.1,0.37,45.6,0.37,45.8,0.34,124,1.8,126,2.6,132,3.2
g20M,,,131,0.9,126,1.4,,,45.6,0.36,45.9,0.34,,,127,2.5,132,3.3
m20-29,121,2,112,1.4,114,2.6,46,0.48,47,0.56,45.3,0.47,98,3.2,94,3.2,103,3.7
m30-39,137,2.6,131,2.4,126,2.2,44.5,0.61,45.6,0.61,45.1,0.52,120,4.1,117,5.1,122,3.5
m40-49,147,2.9,139,2.6,131,2.4,44.1,0.67,45.1,0.68,46.1,0.59,141,6,138,6,153,8.7
m50-59,154,2.8,137,2.9,136,2.2,45,0.66,44.5,0.76,46.2,0.65,136,4.2,147,4.6,148,6.6
m60-74,148,1.8,137,1.5,125,2.3,45.8,0.51,45.5,0.46,46.6,0.75,131,3.4,143,4.6,137,4.9
m75,,,132,2.1,115,2.3,,,46.4,0.75,47.2,0.77,,,129,4.7,124,5.8
allw,136,1.5,124,1.2,120,1.1,53.8,0.45,55.3,0.44,55.9,0.47,106,1.8,108,2.1,114,1.6
g20W,,,126,1.2,120,1.1,,,55.4,0.43,56.2,0.47,,,110,2,115,1.5
w20-29,113,2.2,109,2.4,107,2.3,52.9,0.55,55.3,0.74,53,0.6,91,2.6,89,2.7,97,3.3
w30-39,124,2.2,114,1.9,115,1.6,52.6,0.66,54.4,0.8,54.7,0.55,89,2.2,93,3.7,102,2.6
w40-49,136,2.4,123,2.2,121,2.4,53.4,0.87,54.9,0.73,55.9,0.86,104,3,103,4,104,3.9
w50-59,157,3.3,140,3,129,2.3,56.3,0.82,56.6,0.96,58.5,0.98,119,3.9,130,4.9,133,5
w60-74,161,2.1,144,2.2,132,2.5,53.8,0.51,55.9,0.62,58.5,0.59,134,2.8,141,4.1,146,4
w75,,,144,2.6,124,2.4,,,55.7,0.79,59.2,0.94,,,132,4,136,5.7
MAA,,,125,1,121,1.3,,,48.7,0.39,48.9,0.27,,,134,2.5,139,3.3
MAM,,,127,1.3,125,1.9,,,45.2,0.41,45,0.39,,,136,3.3,142,5.7
MAW,,,123,1.5,117,1.5,,,52.3,0.48,52.9,0.47,,,132,2.6,135,3.9
NHWA,,,129,1.1,124,1.2,,,50.4,0.42,51.2,0.47,,,120,2.3,125,2.1
NHWM,,,132,1.1,126,1.7,,,44.8,0.43,45.5,0.42,,,130,3.3,134,3.8
NHWW,,,126,1.6,121,1.1,,,55.7,0.55,56.6,0.66,,,112,2.4,117,1.9
NHBA,,,128,1.4,121,1.6,,,55.2,0.42,54.5,0.48,,,93,1.7,94,2.4
NHBM,,,129,2.1,121,1.7,,,52.4,0.59,51,0.68,,,100,2.4,99,3.4
NHBW,,,127,1.4,121,2.4,,,57.3,0.46,57.3,0.52,,,88,1.8,90,2.6
