Group,Total,HDL,LDL,STG
AllG20,8809,8808,3867,3982
MG20,4165,4164,1815,1893
WG20,4644,4644,2052,2089
AMA,2122,2122,950,994
AMA-M,998,998,439,467
AMA-F,1124,1124,511,527
ANHW,4338,4337,1938,1997
ANHW-M,2091,2090,924,965
ANHW-F,2247,2247,1014,1032
ANHB,1602,1602,670,674
ANHB-M,749,749,309,312
ANHB-W,853,853,361,362
M20-29,674,674,304,311
M30-39,673,673,316,323
M40-49,760,760,318,342
M50-59,571,571,245,262
M60-69,671,670,287,301
M70,816,816,345,354
W20-29,961,961,415,419
W30-39,861,861,374,377
W40-49,754,755,347,352
W50-59,569,569,256,263
W60-69,672,671,315,324
W70,827,827,345,354
