group,N88,P88,SE88,N99,P99,SE99,p
all,16019,3.4,0.25,9063,9.3,0.31,0.001
mg20,7494,3.1,0.31,4269,10.7,0.51,0.001
m20-39,3038,0.4,0.19,1405,1.5,0.37,0.01
m40-59,2013,3.8,0.56,1353,11.9,1.11,0.001
m60,2443,6.8,0.83,1511,24.3,1.35,0.001
w20,8525,3.5,0.33,4794,8.1,0.38,0.001
w20-39,3624,0.2,0.15,1859,0.5,0.19,0.23
w20-59,2309,3.9,0.6,1377,7.7,0.92,0.002
w60,2592,8.7,0.94,1558,21.6,1.26,0.001
MA,4323,2.4,0.29,2156,6,0.53,0.001
MAM,2159,2.2,0.49,1018,5.2,0.68,0.002
MAW,2164,2.5,0.47,1138,6.7,0.64,0.001
NHWA,6547,3.4,0.3,4395,9.8,0.37,0.001
NHWM,3039,3.2,0.35,2110,11.3,0.59,0.001
NHWW,3508,3.6,0.4,2285,8.5,0.47,0.001
NHBA,4509,2.8,0.28,1727,7,0.47,0.001
NHBM,2026,2.2,0.33,798,8.5,0.72,0.001
NHBW,2483,3.2,0.38,929,6,0.64,0.001
