src,dst
darkslategray,cyan
lightseagreen,cyan
slateblue,purple
slategray,blue
navajo,yellow
antique,yellow
gray,mono
aliceblue,cyan
mintcream,cyan
cream,cream
linen,cream
lace,cream
white,cream
lavender,cream
honeydew,green
azure,cyan
beige,cream
misty,magenta
seashell,cream
cornsilk,yellow
snow,cream
ivory,cream
gainsboro,cream
almond,yellow
pink,magenta
rosy,magenta
violet,magenta
plum,magenta
red,red
firebrick,red
brown,red
tomato,red
orange,orange
burlywood,orange
salmon,orange
coral,orange
sienna,orange
tan,orange
chocolate,orange
green,green
olive,green
chartreuse,green
bisque,yellow
yellow,yellow
gold,yellow
khaki,yellow
lemon,yellow
wheat,yellow
moccasin,yellow
peach,yellow
papaya,yellow
cyan,cyan
aquamarine,cyan
turquoise,cyan
blue,blue
navy,blue
purple,purple
thistle,magenta
orchid,magenta
magenta,magenta
maroon,magenta
